en,ro
to,la
and,și
of,de
was,a fost
he,el
you,tu
it,aceasta
in,în
her,a ei
she,ea
that,acea
my,Ale mele
his,a lui
me,pe mine
on,pe
with,cu
at,la
as,la fel de
had,a avut
for,pentru
but,dar
said,a spus
be,fi
up,sus
out,afară
look,uite
so,asa de
have,avea
what,ce
not,nu
just,doar
like,ca
go,merge
they,ei
is,este
this,acest
from,din
all,toate
we,noi
were,au fost
back,înapoi
do,do
one,unu
about,despre
know,Cunoaște
if,dacă
when,când
get,obține
then,apoi
into,în
would,ar
no,Nu
there,Acolo
I'm,Sunt
could,ar putea
don't,Nu
ask,cere
down,jos
time,timp
didn't,nu
want,vrei
eye,ochi
them,lor
over,peste
your,ta
are,sunt
or,sau
been,a fost
now,acum
an,un
by,de
think,gândi
see,vedea
hand,mână
it's,este
say,Spune
how,Cum
around,în jurul
head,cap
did,făcut
well,bine
before,inainte de
off,inchis
who,cine
more,Mai mult
even,chiar
turn,rotiți
come,vino
smile,zâmbet
way,cale
really,într-adevăr
can,poate sa
face,față
other,alte
some,niste
right,dreapta
their,al lor
only,numai
walk,mers pe jos
make,face
got,a primit
try,încerca
something,ceva
room,cameră
again,din nou
thing,lucru
after,după
still,încă
thought,gând
door,uşă
here,Aici
too,de asemenea
little,mic
because,deoarece
why,De ce
away,departe
let,lăsa
take,lua
two,Două
start,start
good,bun
where,Unde
never,nu
through,prin
day,zi
much,mult
tell,spune
wasn't,nu a fost
girl,fată
feel,simți
oh,Oh
you're,Ești
call,apel
talk,vorbi
will,voi
long,lung
than,decât
us,S.U.A
made,făcut
friend,prieten
knew,știa
open,deschis
need,nevoie
first,primul
which,care
people,oameni
that's,asta este
went,a mers
sure,sigur
seem,par
stop,Stop
voice,voce
very,foarte
felt,simțit
took,a luat
our,al nostru
pull,Trage
laugh,a rade
man,om
okay,Bine
close,închide
any,orice
came,a venit
told,spus
love,dragoste
watch,ceas
arm,braţ
anything,orice
I'll,Bolnav
though,deşi
put,a pune
left,stânga
work,muncă
guy,tip
hair,păr
next,Următorul
couldn't,nu a putut
yeah,Da
while,in timp ce
mean,Rău
home,Acasă
few,puțini
saw,a văzut
place,loc
school,şcoală
help,Ajutor
wait,aștepta
late,târziu
year,an
can't,Nu pot
house,casă
happen,întâmpla
last,ultimul
always,mereu
move,mișcare
old,vechi
night,noapte
nod,da din cap
life,viaţă
give,da
sit,sta
stare,priviți
sat,Sat
should,ar trebui să
moment,moment
another,o alta
behind,in spate
side,latură
sound,sunet
once,o singura data
find,găsi
toward,spre
boy,băiat
ever,vreodată
nothing,nimic
front,față
mother,mamă
name,Nume
am,a.m
since,de cand
reply,răspuns
he's,El este
myself,eu insumi
leave,părăsi
bed,pat
new,nou
car,mașină
use,utilizare
mind,minte
maybe,pot fi
has,are
heard,auzit
answer,Răspuns
minute,minut
yes,da
until,pana cand
both,ambii
found,găsite
end,Sfârşit
small,mic
I'd,Aș fi
word,cuvânt
someone,cineva
same,la fel
enough,suficient
began,a început
run,alerga
bit,pic
sigh,suspin
each,fiecare
those,acestea
almost,aproape
against,împotriva
everything,Tot
most,cel mai
thank,Mulțumesc
wouldn't,nu ar fi
mom,mama
better,mai bine
play,Joaca
I've,Am
own,propriu
every,fiecare
hard,greu
remember,tine minte
three,Trei
stood,a stat
live,Trăi
stand,stand
second,al doilea
sorry,Îmi pare rău
keep,a pastra
finally,in cele din urma
point,punct
gave,a dat
already,deja
actually,de fapt
probably,probabil
himself,se
big,mare
everyone,toata lumea
guess,ghici
lot,lot
step,Etapa
hey,Hei
hear,auzi
light,ușoară
quickly,repede
dad,tata
kiss,pup
black,negru
pick,alege
else,altfel
soon,curând
shoulder,umăr
table,masa
best,Cel mai bun
without,fără
notice,înștiințare
stay,stau
care,îngrijire
phone,telefon
reach,a ajunge
realize,realizează
follow,urma
decide,decide
kind,drăguț
she's,ea e
grab,apuca
he'd,el ar fi
show,spectacol
inside,interior
suddenly,brusc
father,Tată
rest,odihnă
herself,se
grin,grimasă
hour,ora
hope,speranţă
also,de asemenea
body,corp
might,ar putea
hadn't,nu avea
floor,podea
its,este
continue,continua
ran,a fugit
across,peste
hold,ține
cry,strigăt
half,jumătate
pretty,frumos
great,Grozav
course,curs
mouth,gură
class,clasă
kid,copil
miss,Domnișoară
wonder,mirare
morning,dimineaţă
least,cel mai puţin
nice,Grozav
dark,întuneric
slowly,încet
done,Terminat
change,Schimbare
doesn't,nu
together,împreună
yet,inca
question,întrebare
anyway,oricum
bad,rău
blue,albastru
believe,crede
week,săptămână
God,Dumnezeu
lip,buze
Mr.,Domnul.
sleep,dormi
fine,amenda
what's,ceea ce este
family,familie
many,mulți
worry,îngrijorare
roll,rulează
parent,mamă
under,sub
surprise,surprinde
water,apă
onto,pe
we're,Suntem
glance,privire
wall,perete
between,între
seen,văzut
read,citit
window,fereastră
idea,idee
white,alb
push,Apăsaţi
feet,picioare
must,trebuie sa
such,astfel de
seat,scaun
set,a stabilit
please,Vă rog
red,roșu
brother,frate
these,aceste
whole,întreg
lean,a se sprijini
part,parte
person,persoană
slightly,puțin
pass,trece
shook,scuturat
fact,fapt
wrong,gresit
gone,plecat
far,departe
hit,lovit
finger,deget
quite,destul de
hate,ură
meet,întâlni
finish,finalizarea
heart,Inima
book,carte
past,trecut
kill,ucide
reason,motiv
anyone,oricine
figure,figura
top,top
